country,id,week.year,revenue,units
ID,3351024,6.2019,"1227,42",1
ID,3351024,7.2019,"1227,42",1
ID,3352932,9.2019,"35275,02",29
ID,3354414,6.2019,"644,82",1
ID,3354414,8.2019,"644,82",1
ID,3358770,8.2019,"1223,82",1
ID,3359568,7.2019,"2264,76",1
ID,3362748,6.2019,"1226,76",1
ID,3362748,8.2019,"3659,52",3
ID,3362748,9.2019,"2432,76",2
ID,3364902,9.2019,"397,14",1
ID,3380004,6.2019,"644,82",1
ID,3380004,8.2019,"644,82",1
ID,3380004,7.2019,"2447,76",2
ID,3380004,8.2019,"1213,38",1
ID,3382026,7.2019,"399,36",1
ID,3384414,9.2019,"631,26",1
ID,3384414,6.2019,"1227,42",1
ID,3384414,7.2019,"1227,42",1
ID,3384414,8.2019,"2433,96",2
ID,3384840,9.2019,"1216,38",1
ID,3384840,6.2019,"1226,76",1
ID,3384840,7.2019,"1226,76",1
ID,3384840,9.2019,"1216,38",1
ID,3386688,6.2019,"1226,76",1
ID,3390678,6.2019,"3671,46",3
ID,3398160,6.2019,"1223,82",1
ID,3398256,5.2019,"3642,66",3
ID,3398256,6.2019,"1214,22",1
ID,3398256,8.2019,"1203,90",1
ID,3398568,9.2019,"2169,24",2
ID,3398880,9.2019,"12896,40",20
ID,3400176,8.2019,"2224,86",1
ID,3400542,9.2019,"793,20",2
ID,3401784,9.2019,"644,82",1
ID,3430644,7.2019,"396,60",1
ID,3430644,8.2019,"396,60",1
ID,3430644,6.2019,"276,96",1
ID,3430644,7.2019,"276,96",1
ID,3431184,8.2019,"1203,90",1
ID,3431352,5.2019,"1227,42",1
ID,3431352,8.2019,"3650,94",3
ID,3431352,9.2019,"2434,08",2
ID,3433344,5.2019,"1200,84",1
ID,3433344,6.2019,"2401,68",2
ID,3433344,8.2019,"3602,64",3
ID,3434784,9.2019,"1216,38",1
ID,3435678,8.2019,"2245,56",1
ID,3435678,7.2019,"2454,84",2
ID,3444444,8.2019,"3640,14",3
ID,3444444,7.2019,"3600,00",3
ID,3454056,9.2019,"649,50",1
ID,3455196,8.2019,"644,82",1
ID,3455208,9.2019,"648,30",1
ID,3460644,8.2019,"1296,60",2
ID,3460644,9.2019,"2432,76",2
ID,3469122,8.2019,"2432,76",2
ID,3475254,7.2019,"649,50",1
ID,3476400,7.2019,"1247,04",2
ID,3476400,5.2019,"10904,76",9
ID,3476400,6.2019,"2423,28",2
ID,3479184,9.2019,"2426,76",2
ID,3479952,6.2019,"618,00",1
ID,3479952,7.2019,"1268,82",2
ID,3479952,8.2019,"1248,00",2
ID,3479952,7.2019,"1223,82",1
